t,active_size,active_centroid_depth,active_max_depth,active_p95_depth,detector_count,detector_ge_count,active_jaccard_prev
0,15,2.0,2,2.0,0,0,
1,42,2.642857142857143,3,3.0,0,0,0.35714285714285715
2,72,3.2083333333333335,4,4.0,0,0,0.5833333333333334
3,102,3.735294117647059,5,5.0,0,0,0.7058823529411765
4,132,4.25,6,6.0,0,0,0.7727272727272727
5,162,4.7592592592592595,7,7.0,0,0,0.8148148148148148
6,192,5.265625,8,8.0,0,0,0.84375
7,222,5.77027027027027,9,9.0,0,0,0.8648648648648649
8,252,6.273809523809524,10,10.0,0,0,0.8809523809523809
9,282,6.776595744680851,11,11.0,0,0,0.8936170212765957
10,312,7.278846153846154,12,12.0,0,0,0.9038461538461539
11,342,7.780701754385965,13,13.0,0,0,0.9122807017543859
12,372,8.28225806451613,14,14.0,0,0,0.9193548387096774
13,402,8.783582089552239,15,15.0,0,0,0.9253731343283582
14,432,9.284722222222221,16,16.0,0,0,0.9305555555555556
15,462,9.785714285714286,17,17.0,0,0,0.935064935064935
16,492,10.286585365853659,18,18.0,0,0,0.9390243902439024
17,522,10.78735632183908,19,19.0,0,0,0.9425287356321839
18,552,11.28804347826087,20,20.0,0,0,0.9456521739130435
19,582,11.788659793814434,21,20.949999999999932,0,0,0.9484536082474226
20,612,12.28921568627451,22,21.0,0,0,0.9509803921568627
21,642,12.789719626168225,23,22.0,0,0,0.9532710280373832
22,671,13.274217585692995,24,23.0,0,0,0.9567809239940388
23,701,13.776034236804565,25,24.0,0,0,0.9572039942938659
24,731,14.277701778385772,26,25.0,0,0,0.9589603283173734
25,761,14.779237844940868,27,26.0,0,0,0.9605781865965834
26,791,15.280657395701644,28,27.0,0,0,0.9620733249051833
27,821,15.781973203410475,29,28.0,0,0,0.9634591961023142
28,851,16.283196239717977,30,29.0,0,0,0.9647473560517039
29,881,16.78433598183882,31,30.0,0,0,0.9659477866061293
30,911,17.285400658616904,32,31.0,0,0,0.9670691547749726
31,941,17.786397449521786,33,32.0,0,0,0.9681190223166843
32,971,18.28733264675592,34,33.0,0,0,0.9691040164778579
33,1001,18.78821178821179,35,34.0,30,30,0.97002997002997
34,1031,19.289039767216295,36,35.0,30,60,0.9709020368574199
35,1060,19.77358490566038,37,36.0,30,89,0.9726415094339622
36,1090,20.275229357798164,38,37.0,30,119,0.9724770642201835
37,1120,20.776785714285715,39,38.0,30,149,0.9732142857142857
38,1120,20.776785714285715,39,38.0,30,149,1.0
39,1120,20.776785714285715,39,38.0,30,149,1.0
40,1120,20.776785714285715,39,38.0,30,149,1.0
41,1120,20.776785714285715,39,38.0,30,149,1.0
42,1120,20.776785714285715,39,38.0,30,149,1.0
43,1120,20.776785714285715,39,38.0,30,149,1.0
44,1120,20.776785714285715,39,38.0,30,149,1.0
45,1120,20.776785714285715,39,38.0,30,149,1.0
46,1120,20.776785714285715,39,38.0,30,149,1.0
47,1120,20.776785714285715,39,38.0,30,149,1.0
48,1120,20.776785714285715,39,38.0,30,149,1.0
49,1120,20.776785714285715,39,38.0,30,149,1.0
50,1120,20.776785714285715,39,38.0,30,149,1.0
51,1120,20.776785714285715,39,38.0,30,149,1.0
52,1120,20.776785714285715,39,38.0,30,149,1.0
53,1120,20.776785714285715,39,38.0,30,149,1.0
54,1120,20.776785714285715,39,38.0,30,149,1.0
55,1120,20.776785714285715,39,38.0,30,149,1.0
56,1120,20.776785714285715,39,38.0,30,149,1.0
57,1120,20.776785714285715,39,38.0,30,149,1.0
58,1120,20.776785714285715,39,38.0,30,149,1.0
59,1120,20.776785714285715,39,38.0,30,149,1.0
60,1120,20.776785714285715,39,38.0,30,149,1.0
61,1120,20.776785714285715,39,38.0,30,149,1.0
62,1120,20.776785714285715,39,38.0,30,149,1.0
63,1120,20.776785714285715,39,38.0,30,149,1.0
64,1120,20.776785714285715,39,38.0,30,149,1.0
65,1120,20.776785714285715,39,38.0,30,149,1.0
66,1120,20.776785714285715,39,38.0,30,149,1.0
67,1120,20.776785714285715,39,38.0,30,149,1.0
68,1120,20.776785714285715,39,38.0,30,149,1.0
69,1120,20.776785714285715,39,38.0,30,149,1.0
70,1120,20.776785714285715,39,38.0,30,149,1.0
71,1120,20.776785714285715,39,38.0,30,149,1.0
72,1120,20.776785714285715,39,38.0,30,149,1.0
73,1120,20.776785714285715,39,38.0,30,149,1.0
74,1120,20.776785714285715,39,38.0,30,149,1.0
75,1120,20.776785714285715,39,38.0,30,149,1.0
76,1120,20.776785714285715,39,38.0,30,149,1.0
77,1120,20.776785714285715,39,38.0,30,149,1.0
78,1120,20.776785714285715,39,38.0,30,149,1.0
79,1120,20.776785714285715,39,38.0,30,149,1.0
80,1120,20.776785714285715,39,38.0,30,149,1.0
81,1120,20.776785714285715,39,38.0,30,149,1.0
82,1120,20.776785714285715,39,38.0,30,149,1.0
83,1120,20.776785714285715,39,38.0,30,149,1.0
84,1120,20.776785714285715,39,38.0,30,149,1.0
85,1120,20.776785714285715,39,38.0,30,149,1.0
86,1120,20.776785714285715,39,38.0,30,149,1.0
87,1120,20.776785714285715,39,38.0,30,149,1.0
88,1120,20.776785714285715,39,38.0,30,149,1.0
89,1120,20.776785714285715,39,38.0,30,149,1.0
90,1120,20.776785714285715,39,38.0,30,149,1.0
91,1120,20.776785714285715,39,38.0,30,149,1.0
92,1120,20.776785714285715,39,38.0,30,149,1.0
93,1120,20.776785714285715,39,38.0,30,149,1.0
94,1120,20.776785714285715,39,38.0,30,149,1.0
95,1120,20.776785714285715,39,38.0,30,149,1.0
96,1120,20.776785714285715,39,38.0,30,149,1.0
97,1120,20.776785714285715,39,38.0,30,149,1.0
98,1120,20.776785714285715,39,38.0,30,149,1.0
99,1120,20.776785714285715,39,38.0,30,149,1.0
100,1120,20.776785714285715,39,38.0,30,149,1.0
